InvoiceNo,StockCode,Description,HasBlankDescription,Table1 - Modified.DescriptionStatus,Table1 - Modified.PriceVarianceFlag,IsDescriptionUnrecoverable,IsMultiVariantCode
548383,84906,,TRUE,Manual Review,TRUE,FALSE,TRUE
554831,84906,,TRUE,Manual Review,TRUE,FALSE,TRUE
536414,22139,RETROSPOT TEA SET CERAMIC 11 PC,TRUE,Auto Accept,FALSE,FALSE,FALSE
538039,22139,RETROSPOT TEA SET CERAMIC 11 PC,TRUE,Auto Accept,FALSE,FALSE,FALSE
539638,22139,RETROSPOT TEA SET CERAMIC 11 PC,TRUE,Auto Accept,FALSE,FALSE,FALSE
546307,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,TRUE,Auto Accept,FALSE,FALSE,FALSE
544348,84029E,RED WOOLLY HOTTIE WHITE HEART.,TRUE,Auto Accept,FALSE,FALSE,FALSE
550982,22632,HAND WARMER RED RETROSPOT,TRUE,Auto Accept,FALSE,FALSE,FALSE
537002,21651,HANGING GLASS ETCHED TEALIGHT,TRUE,Auto Accept,FALSE,FALSE,FALSE
537361,21777,RECIPE BOX WITH METAL HEART,TRUE,Auto Accept,FALSE,FALSE,FALSE
538004,22114,HOT WATER BOTTLE TEA AND SYMPATHY,TRUE,Auto Accept,FALSE,FALSE,FALSE
553163,22726,ALARM CLOCK BAKELIKE GREEN,TRUE,Auto Accept,FALSE,FALSE,FALSE
538038,21488,RED WHITE SCARF  HOT WATER BOTTLE,TRUE,Auto Accept,FALSE,FALSE,FALSE
548286,10002,INFLATABLE POLITICAL GLOBE,TRUE,Auto Accept,FALSE,FALSE,FALSE
538131,17091A,LAVENDER INCENSE IN TIN,TRUE,Auto Accept,FALSE,FALSE,FALSE
538134,20878,SET/9 CHRISTMAS T-LIGHTS SCENTED,TRUE,Auto Accept,FALSE,FALSE,FALSE
540699,POST,POSTAGE,TRUE,Auto Accept,FALSE,FALSE,FALSE
554857,POST,POSTAGE,TRUE,Auto Accept,FALSE,FALSE,FALSE
565556,POST,POSTAGE,TRUE,Auto Accept,FALSE,FALSE,FALSE
575505,POST,POSTAGE,TRUE,Auto Accept,FALSE,FALSE,FALSE
569931,37370,RETRO COFFEE MUGS ASSORTED,TRUE,Auto Accept,FALSE,FALSE,FALSE
574133,21071,VINTAGE BILLBOARD DRINK ME MUG,TRUE,Auto Accept,FALSE,FALSE,FALSE
551126,82483,WOOD 2 DRAWER CABINET WHITE FINISH,TRUE,Auto Accept,FALSE,FALSE,FALSE
549103,82494L,WOODEN FRAME ANTIQUE WHITE,TRUE,Auto Accept,FALSE,FALSE,FALSE
547525,21258,VICTORIAN SEWING BOX LARGE,TRUE,Auto Accept,FALSE,FALSE,FALSE
548638,21258,VICTORIAN SEWING BOX LARGE,TRUE,Auto Accept,FALSE,FALSE,FALSE
563108,21033,JUMBO BAG CHARLIE AND LOLA TOYS,TRUE,Auto Accept,FALSE,FALSE,FALSE
563447,21033,JUMBO BAG CHARLIE AND LOLA TOYS,TRUE,Auto Accept,FALSE,FALSE,FALSE
563452,21033,JUMBO BAG CHARLIE AND LOLA TOYS,TRUE,Auto Accept,FALSE,FALSE,FALSE
542364,21324,HANGING MEDINA LANTERN SMALL,TRUE,Auto Accept,FALSE,FALSE,FALSE
553728,21324,HANGING MEDINA LANTERN SMALL,TRUE,Auto Accept,FALSE,FALSE,FALSE
542514,22866,HAND WARMER SCOTTY DOG DESIGN,TRUE,Auto Accept,FALSE,FALSE,FALSE
544345,22866,HAND WARMER SCOTTY DOG DESIGN,TRUE,Auto Accept,FALSE,FALSE,FALSE
547557,22866,HAND WARMER SCOTTY DOG DESIGN,TRUE,Auto Accept,FALSE,FALSE,FALSE
550983,22866,HAND WARMER SCOTTY DOG DESIGN,TRUE,Auto Accept,FALSE,FALSE,FALSE
553716,37444A,YELLOW BREAKFAST CUP AND SAUCER,TRUE,Auto Accept,FALSE,FALSE,FALSE
556946,37444A,YELLOW BREAKFAST CUP AND SAUCER,TRUE,Auto Accept,FALSE,FALSE,FALSE
560389,37444A,YELLOW BREAKFAST CUP AND SAUCER,TRUE,Auto Accept,FALSE,FALSE,FALSE
547927,37444C,PINK BREAKFAST CUP AND SAUCER,TRUE,Auto Accept,FALSE,FALSE,FALSE
542880,22242,5 HOOK HANGER MAGIC TOADSTOOL,TRUE,Auto Accept,FALSE,FALSE,FALSE
543471,85150,LADIES & GENTLEMEN METAL SIGN,TRUE,Auto Accept,FALSE,FALSE,FALSE
551321,22719,GUMBALL MONOCHROME COAT RACK,TRUE,Auto Accept,FALSE,FALSE,FALSE
553349,22719,GUMBALL MONOCHROME COAT RACK,TRUE,Auto Accept,FALSE,FALSE,FALSE
